,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
3266,2019-1377,2019-05-14,1,Vente,120000.0,,PRE DE L ETANG,B093,1340.0,01236,Marsonnas,01,01236000AL0094,0,,,,,P,prés,13482.0,5.046931,46.337504
3267,2019-1377,2019-05-14,1,Vente,120000.0,,CHAMP BERGERAT,B054,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0026,0,,,,,P,prés,35410.0,5.038178,46.305259
3268,2019-1377,2019-05-14,1,Vente,120000.0,,CHAMP BERGERAT,B054,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0027,0,,,,,T,terres,2920.0,5.035713,46.305388
3269,2019-1377,2019-05-14,1,Vente,120000.0,,CHAMP BERGERAT,B054,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0028,0,,,,,T,terres,8780.0,5.035742,46.304689
3270,2019-1377,2019-05-14,1,Vente,120000.0,,CHAMP BERGERAT,B054,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0029,0,,,,,T,terres,6230.0,5.036434,46.304072
3271,2019-1377,2019-05-14,1,Vente,120000.0,,CHAMP BERGERAT,B054,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0030,0,,,,,P,prés,8080.0,5.038034,46.30478
3272,2019-1377,2019-05-14,1,Vente,120000.0,,CHAMP BERGERAT,B054,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0031,0,,,,,P,prés,1906.0,5.037813,46.304306
3273,2019-1377,2019-05-14,1,Vente,120000.0,,CHAMP BERGERAT,B054,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0032,0,,,,,P,prés,2728.0,5.037837,46.304015
3274,2019-1377,2019-05-14,1,Vente,120000.0,,LA VIGNETTE,B247,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0033,0,,,,,P,prés,27440.0,5.03794,46.303122
3275,2019-1377,2019-05-14,1,Vente,120000.0,,CHARBONNIERE,B070,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0040,0,,,,,T,terres,11990.0,5.041024,46.305724
3276,2019-1377,2019-05-14,1,Vente,120000.0,,CHARBONNIERE,B070,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0041,0,,,,,T,terres,5980.0,5.040875,46.304783
3277,2019-1377,2019-05-14,1,Vente,120000.0,,CHANTE MERLE,B066,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0049,0,,,,,T,terres,7183.0,5.04267,46.305699
3278,2019-1377,2019-05-14,1,Vente,120000.0,,LES MALADIERES,B153,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0083,0,,,,,T,terres,7290.0,5.041764,46.303132
