,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
5573,2017-2177,2017-07-21,1,Vente,178500.0,141.0,,RUE DE LA VIGNE ROUGE,0175,1370.0,01127,Courmangoux,01,,,01127000ZA0167,,,,,,,,,,,,,0,1.0,Maison,112.0,4.0,S,sols,,,1723.0,5.367504,46.340634
5574,2017-2177,2017-07-21,1,Vente,178500.0,141.0,,RUE DE LA VIGNE ROUGE,0175,1370.0,01127,Courmangoux,01,,,01127000ZA0167,,,,,,,,,,,,,0,1.0,Maison,97.0,2.0,P,prés,,,1487.0,5.367504,46.340634
5575,2017-2177,2017-07-21,1,Vente,178500.0,141.0,,RUE DE LA VIGNE ROUGE,0175,1370.0,01127,Courmangoux,01,,,01127000ZA0167,,,,,,,,,,,,,0,1.0,Maison,97.0,2.0,S,sols,,,1723.0,5.367504,46.340634
5576,2017-2178,2017-07-27,1,Vente,170000.0,11.0,,RUE AIME COTTON,0060,1000.0,01053,Bourg-en-Bresse,01,,,01053000AV0228,,,,,,,,,,,,,0,2.0,Appartement,87.0,4.0,S,sols,,,513.0,5.234337,46.191498
5577,2017-2178,2017-07-27,1,Vente,170000.0,11.0,,RUE AIME COTTON,0060,1000.0,01053,Bourg-en-Bresse,01,,,01053000AV0228,,,,,,,,,,,,,0,2.0,Appartement,87.0,4.0,J,jardins,POTAG,Jardin potager,103.0,5.234337,46.191498
5578,2017-2178,2017-07-27,1,Vente,170000.0,11.0,,RUE AIME COTTON,0060,1000.0,01053,Bourg-en-Bresse,01,,,01053000AV0228,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,513.0,5.234337,46.191498
5579,2017-2178,2017-07-27,1,Vente,170000.0,11.0,,RUE AIME COTTON,0060,1000.0,01053,Bourg-en-Bresse,01,,,01053000AV0228,,,,,,,,,,,,,0,2.0,Appartement,87.0,4.0,J,jardins,POTAG,Jardin potager,103.0,5.234337,46.191498
5580,2017-2178,2017-07-27,1,Vente,170000.0,11.0,,RUE AIME COTTON,0060,1000.0,01053,Bourg-en-Bresse,01,,,01053000AV0228,,,,,,,,,,,,,0,2.0,Appartement,87.0,4.0,S,sols,,,513.0,5.234337,46.191498
5581,2017-2178,2017-07-27,1,Vente,170000.0,11.0,,RUE AIME COTTON,0060,1000.0,01053,Bourg-en-Bresse,01,,,01053000AV0228,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,J,jardins,POTAG,Jardin potager,103.0,5.234337,46.191498
5582,2017-2178,2017-07-27,1,Vente,170000.0,11.0,,RUE AIME COTTON,0060,1000.0,01053,Bourg-en-Bresse,01,,,01053000AV0228,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,513.0,5.234337,46.191498
5583,2017-2178,2017-07-27,1,Vente,170000.0,11.0,,RUE AIME COTTON,0060,1000.0,01053,Bourg-en-Bresse,01,,,01053000AV0228,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,J,jardins,POTAG,Jardin potager,103.0,5.234337,46.191498
5584,2017-2179,2017-07-28,1,Vente,68000.0,1.0,,RUE EMILE BONNET,1370,1000.0,01053,Bourg-en-Bresse,01,,,01053000BM0109,,,13,,35,86.46,,,,,,,2,2.0,Appartement,101.0,4.0,,,,,,5.228717,46.213259
5585,2017-2180,2017-07-21,1,Vente,175000.0,,,LORETTE,B107,1270.0,01108,Coligny,01,,,01108000AH0052,,,,,,,,,,,,,0,,,,,S,sols,,,82.0,5.351474,46.380612
5586,2017-2180,2017-07-21,1,Vente,175000.0,5371.0,,LORETTE,B107,1270.0,01108,Coligny,01,,,01108000AH0053,,,,,,,,,,,,,0,1.0,Maison,80.0,4.0,S,sols,,,144.0,5.351543,46.380538
5587,2017-2180,2017-07-21,1,Vente,175000.0,,,LORETTE,B107,1270.0,01108,Coligny,01,,,01108000AH0054,,,,,,,,,,,,,0,,,,,S,sols,,,90.0,5.351434,46.380203
5588,2017-2180,2017-07-21,1,Vente,175000.0,,,LORETTE,B107,1270.0,01108,Coligny,01,,,01108000AH0054,,,,,,,,,,,,,0,,,,,P,prés,,,1595.0,5.351434,46.380203
5589,2017-2181,2017-07-27,1,Vente,50000.0,,,LE CANTON,B025,1250.0,01195,Jasseron,01,,,01195000AC0138,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1184.0,5.291565,46.231636
5590,2017-2182,2017-07-26,1,Vente,15000.0,,,A DALLES,B031,1250.0,01309,Pouillat,01,,,013090000C0369,,,,,,,,,,,,,0,,,,,L,landes,,,14.0,5.431254,46.313116
5591,2017-2182,2017-07-26,1,Vente,15000.0,,,A DALLES,B031,1250.0,01309,Pouillat,01,,,013090000C0395,,,,,,,,,,,,,0,,,,,L,landes,,,60.0,5.431123,46.312882
5592,2017-2182,2017-07-26,1,Vente,15000.0,,,A DALLES,B031,1250.0,01309,Pouillat,01,,,013090000C0396,,,,,,,,,,,,,0,,,,,S,sols,,,105.0,5.431117,46.312959
5593,2017-2182,2017-07-26,1,Vente,15000.0,,,A DALLES,B031,1250.0,01309,Pouillat,01,,,013090000C0399,,,,,,,,,,,,,0,,,,,L,landes,,,148.0,5.430917,46.312869
5594,2017-2182,2017-07-26,1,Vente,15000.0,,,A DALLES,B031,1250.0,01309,Pouillat,01,,,013090000C0400,,,,,,,,,,,,,0,,,,,L,landes,,,150.0,5.430955,46.312817
5595,2017-2182,2017-07-26,1,Vente,15000.0,5041.0,,A DALLES,B031,1250.0,01309,Pouillat,01,,,013090000C1288,,,,,,,,,,,,,0,1.0,Maison,59.0,3.0,S,sols,,,298.0,5.43096,46.31294
