,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
0,2020-1,2020-01-07,1,Vente,8000.0,,FORTUNAT,B063,1250.0,01072,Ceyzériat,01,01072000AK0216,0,,,,,T,terres,1061.0,5.32354,46.171919
1,2020-2,2020-01-02,1,Vente,2175.0,,TERRES DES CINQ SAULES,B124,1290.0,01203,Laiz,01,012030000B0004,0,,,,,BT,taillis simples,85.0,4.893436,46.251868
2,2020-2,2020-01-02,1,Vente,2175.0,,BOIS DU CHAMP RION,B006,1290.0,01203,Laiz,01,012030000B0173,0,,,,,T,terres,1115.0,4.899919,46.235327
3,2020-2,2020-01-02,1,Vente,2175.0,,EN COROBERT,B025,1290.0,01203,Laiz,01,012030000B0477,0,,,,,T,terres,1940.0,4.882347,46.246519
4,2020-2,2020-01-02,1,Vente,2175.0,,TERRES DES CINQ SAULES,B124,1290.0,01203,Laiz,01,012030000C0068,0,,,,,T,terres,1148.0,4.894688,46.25182
5,2020-2,2020-01-02,1,Vente,2175.0,,TERRES DES CINQ SAULES,B124,1290.0,01203,Laiz,01,012030000C0069,0,,,,,T,terres,2960.0,4.894607,46.251943
6,2020-3,2020-01-07,1,Vente,75000.0,,RUE DE LA CHARTREUSE,0064,1960.0,01289,Péronnas,01,01289000AI0210,0,,,,,AB,terrains a bâtir,610.0,5.226198,46.184538
7,2020-4,2020-01-07,1,Vente,123.0,,CHAMP PORTIER,B041,1370.0,01426,Val-Revermont,01,01426000ZN0197,0,,,,,S,sols,55.0,5.344396,46.263943
8,2020-4,2020-01-07,1,Vente,123.0,,CHAMP PORTIER,B041,1370.0,01426,Val-Revermont,01,01426000ZN0201,0,,,,,S,sols,68.0,5.343884,46.2638
9,2020-5,2020-01-09,1,Vente,72000.0,,CHAMPEL,B034,1270.0,01108,Coligny,01,01108000AC0015,0,,,,,J,jardins,328.0,5.350565,46.380898
10,2020-5,2020-01-09,1,Vente,72000.0,,CHAMPEL,B034,1270.0,01108,Coligny,01,01108000AC0261,0,,,,,P,prés,1207.0,5.349995,46.380845
11,2020-5,2020-01-09,1,Vente,72000.0,5367.0,LORETTE,B107,1270.0,01108,Coligny,01,01108000AH0048,0,1.0,Maison,35.0,2.0,S,sols,381.0,5.350973,46.380911
12,2020-6,2020-01-10,1,Vente,64000.0,,RUE DE LA CHARTREUSE,0064,1960.0,01289,Péronnas,01,01289000AI0223,0,,,,,AB,terrains a bâtir,530.0,5.224725,46.18571
