,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
13,2020-7,2020-01-06,1,Vente,180300.0,31.0,RUE COMTE DE LA TEYSSONNIERE,0970,1000.0,01053,Bourg-en-Bresse,01,01053000AI0138,0,1.0,Maison,75.0,4.0,S,sols,525.0,5.208916,46.196883
15,2020-9,2020-01-03,1,Vente,350750.0,904.0,CHE DES GDES CADALLES,0149,1000.0,01344,Saint-Denis-lès-Bourg,01,01344000AC0034,0,,,,,S,sols,19.0,5.200885,46.209963
16,2020-9,2020-01-03,1,Vente,350750.0,904.0,CHE DES GDES CADALLES,0149,1000.0,01344,Saint-Denis-lès-Bourg,01,01344000AC0039,0,1.0,Maison,201.0,7.0,J,jardins,1267.0,5.200634,46.210371
17,2020-9,2020-01-03,1,Vente,350750.0,904.0,CHE DES GDES CADALLES,0149,1000.0,01344,Saint-Denis-lès-Bourg,01,01344000AC0039,0,1.0,Maison,201.0,7.0,S,sols,1497.0,5.200634,46.210371
18,2020-9,2020-01-03,1,Vente,350750.0,904.0,CHE DES GDES CADALLES,0149,1000.0,01344,Saint-Denis-lès-Bourg,01,01344000AC0039,0,3.0,Dépendance,,0.0,S,sols,1497.0,5.200634,46.210371
19,2020-9,2020-01-03,1,Vente,350750.0,904.0,CHE DES GDES CADALLES,0149,1000.0,01344,Saint-Denis-lès-Bourg,01,01344000AC0039,0,3.0,Dépendance,,0.0,J,jardins,1267.0,5.200634,46.210371
20,2020-9,2020-01-03,1,Vente,350750.0,,LES CADALLES,B003,1000.0,01344,Saint-Denis-lès-Bourg,01,01344000AC0180,0,,,,,AB,terrains a bâtir,91.0,5.200448,46.21014
21,2020-10,2020-01-10,1,Vente,1.0,,LES FOSSES,B118,1440.0,01451,Viriat,01,01451000AT0164,0,,,,,S,sols,36.0,5.228688,46.237628
22,2020-11,2020-01-10,1,Vente,53650.0,5104.0,COLIGNY LE BAS,B049,1270.0,01108,Coligny,01,01108000AB0106,0,2.0,Appartement,50.0,2.0,S,sols,195.0,5.347205,46.388094
23,2020-11,2020-01-10,1,Vente,53650.0,5104.0,COLIGNY LE BAS,B049,1270.0,01108,Coligny,01,01108000AB0106,0,2.0,Appartement,45.0,2.0,S,sols,195.0,5.347205,46.388094
25,2020-13,2020-01-09,1,Vente,215000.0,2.0,IMP DU COLOMBIER,0140,1250.0,01422,Tossiat,01,014220000D1121,0,1.0,Maison,93.0,4.0,S,sols,790.0,5.310972,46.140944
26,2020-13,2020-01-09,1,Vente,215000.0,,AU COLOMBIER,B044,1250.0,01422,Tossiat,01,014220000D1167,0,,,,,P,prés,665.0,5.310983,46.140759
27,2020-14,2020-01-13,1,Vente,179210.0,102.0,IMP DE LA CULOTTE,0080,1310.0,01264,Montracol,01,01264000AA0218,0,1.0,Maison,90.0,5.0,AG,terrains d'agrément,1350.0,5.121962,46.19356
28,2020-14,2020-01-13,1,Vente,179210.0,102.0,IMP DE LA CULOTTE,0080,1310.0,01264,Montracol,01,01264000AA0218,0,1.0,Maison,90.0,5.0,BS,taillis sous futaie,360.0,5.121962,46.19356
29,2020-14,2020-01-13,1,Vente,179210.0,102.0,IMP DE LA CULOTTE,0080,1310.0,01264,Montracol,01,01264000AA0218,0,1.0,Maison,90.0,5.0,S,sols,1430.0,5.121962,46.19356
30,2020-14,2020-01-13,1,Vente,179210.0,,LE VILLAGE,B048,1310.0,01264,Montracol,01,01264000AA0223,0,,,,,AG,terrains d'agrément,883.0,5.120731,46.193915
31,2020-14,2020-01-13,1,Vente,179210.0,,LE VILLAGE,B048,1310.0,01264,Montracol,01,01264000AA0224,0,,,,,AG,terrains d'agrément,812.0,5.121433,46.193836
32,2020-14,2020-01-13,1,Vente,179210.0,,LE VILLAGE,B048,1310.0,01264,Montracol,01,01264000AA0268,0,,,,,BS,taillis sous futaie,522.0,5.122419,46.193776
33,2020-15,2020-01-09,1,Vente,264450.0,5340.0,IMP GRAND CHAMP,0052,1310.0,01385,Saint-Rémy,01,013850000A1120,0,1.0,Maison,111.0,5.0,S,sols,1002.0,5.162373,46.189452
36,2020-17,2020-01-08,1,Vente,269000.0,5090.0,HAMEAU DES RIPPES,B032,1240.0,01069,Certines,01,01069000ZH0056,0,1.0,Maison,287.0,9.0,S,sols,1100.0,5.274779,46.146709
37,2020-17,2020-01-08,1,Vente,269000.0,,HAMEAU DES RIPPES,B032,1240.0,01069,Certines,01,01069000ZH0286,0,,,,,S,sols,13.0,5.274968,46.146819
38,2020-18,2020-01-09,1,Vente,65000.0,,A LA CROIX,B038,1960.0,01336,Saint-André-sur-Vieux-Jonc,01,013360000A1209,0,,,,,AB,terrains a bâtir,420.0,5.149985,46.15708
39,2020-19,2020-01-09,1,Vente,600.0,,LES AMBERTHETS,B001,1000.0,01344,Saint-Denis-lès-Bourg,01,013440000A0072,0,,,,,BS,taillis sous futaie,2480.0,5.18196,46.23027
40,2020-20,2020-01-03,1,Vente,11734.8,,LES GREFFETS OUEST,B264,1440.0,01451,Viriat,01,01451000ZA0037,0,,,,,P,prés,17990.0,5.182499,46.25089
41,2020-20,2020-01-03,1,Vente,11734.8,,LES GREFFETS OUEST,B264,1440.0,01451,Viriat,01,01451000ZA0037,0,,,,,S,sols,100.0,5.182499,46.25089
42,2020-20,2020-01-03,1,Vente,11734.8,,LES TRILLERES,B249,1440.0,01451,Viriat,01,01451000ZA0040,0,,,,,P,prés,8900.0,5.178981,46.252177
43,2020-20,2020-01-03,1,Vente,11734.8,,LES TRILLERES,B249,1440.0,01451,Viriat,01,01451000ZA0067,0,,,,,P,prés,1440.0,5.169366,46.252022
44,2020-20,2020-01-03,1,Vente,11734.8,,LES TRILLERES,B249,1440.0,01451,Viriat,01,01451000ZA0068,0,,,,,P,prés,4370.0,5.169208,46.252379
45,2020-20,2020-01-03,1,Vente,11734.8,,LES TRILLERES,B249,1440.0,01451,Viriat,01,01451000ZA0070,0,,,,,P,prés,4548.0,5.171626,46.252798
46,2020-20,2020-01-03,1,Vente,11734.8,,LES TRILLERES,B249,1440.0,01451,Viriat,01,01451000ZA0070,0,,,,,BS,taillis sous futaie,2652.0,5.171626,46.252798
48,2020-22,2020-01-10,1,Vente,235600.0,27.0,RUE DE LA BROCHETTE,0263,1370.0,01241,Meillonnas,01,01241000ZH0083,0,1.0,Maison,97.0,4.0,S,sols,797.0,5.347388,46.237753
49,2020-23,2020-01-15,1,Vente,6500.0,,AUX RIVONS,B239,1190.0,01094,Chavannes-sur-Reyssouze,01,010940000C1012,0,,,,,T,terres,644.0,5.016772,46.445928
50,2020-23,2020-01-15,1,Vente,6500.0,,AUX RIVONS,B239,1190.0,01094,Chavannes-sur-Reyssouze,01,010940000C1013,0,,,,,T,terres,25298.0,5.016402,46.446408
51,2020-23,2020-01-15,1,Vente,6500.0,,AUX RIVONS,B239,1190.0,01094,Chavannes-sur-Reyssouze,01,010940000C1025,0,,,,,T,terres,3460.0,5.015813,46.445132
52,2020-23,2020-01-15,1,Vente,6500.0,,AUX RIVONS,B239,1190.0,01094,Chavannes-sur-Reyssouze,01,010940000C1030,0,,,,,T,terres,4567.0,5.016607,46.444147
53,2020-23,2020-01-15,1,Vente,6500.0,,AUX RIVONS,B239,1190.0,01094,Chavannes-sur-Reyssouze,01,010940000C1033,0,,,,,P,prés,4878.0,5.015936,46.444213
54,2020-24,2020-01-13,1,Vente,165000.0,337.0,RTE DE CROYAT,0085,1290.0,01365,Saint-Jean-sur-Veyle,01,013650000C0758,0,1.0,Maison,87.0,2.0,S,sols,1265.0,4.914406,46.263728
55,2020-25,2020-01-08,2,Vente,150000.0,,VAVRES,B031,1340.0,01229,Malafretaz,01,012290000A0146,0,,,,,P,prés,950.0,5.157665,46.338461
56,2020-25,2020-01-08,2,Vente,150000.0,5134.0,VAVRES,B031,1340.0,01229,Malafretaz,01,012290000A0755,0,3.0,Dépendance,,0.0,S,sols,746.0,5.158122,46.338332
57,2020-25,2020-01-08,2,Vente,150000.0,5134.0,VAVRES,B031,1340.0,01229,Malafretaz,01,012290000A0755,0,2.0,Appartement,78.0,3.0,S,sols,746.0,5.158122,46.338332
58,2020-25,2020-01-08,2,Vente,150000.0,5134.0,VAVRES,B031,1340.0,01229,Malafretaz,01,012290000A0755,0,3.0,Dépendance,,0.0,S,sols,746.0,5.158122,46.338332
59,2020-25,2020-01-08,2,Vente,150000.0,5134.0,VAVRES,B031,1340.0,01229,Malafretaz,01,012290000A0755,0,2.0,Appartement,135.0,5.0,S,sols,746.0,5.158122,46.338332
61,2020-27,2020-01-10,1,Vente,119270.0,5188.0,LES JORDES,B095,1560.0,01124,Cormoz,01,01124000ZH0085,0,1.0,Maison,80.0,3.0,AG,terrains d'agrément,1493.0,5.228984,46.452137
62,2020-27,2020-01-10,1,Vente,119270.0,5188.0,LES JORDES,B095,1560.0,01124,Cormoz,01,01124000ZH0085,0,1.0,Maison,80.0,3.0,S,sols,634.0,5.228984,46.452137
63,2020-28,2020-01-14,1,Vente,57000.0,660.0,RTE DE STRASBOURG,0145,1270.0,01445,Villemotier,01,01445000ZI0010,0,1.0,Maison,61.0,4.0,S,sols,960.0,5.318539,46.337206
64,2020-29,2020-01-14,1,Vente,89000.0,,VACAGNOLE,B112,1340.0,01024,Attignat,01,01024000AL0120,0,,,,,AB,terrains a bâtir,600.0,5.170981,46.265376
65,2020-29,2020-01-14,1,Vente,89000.0,,VACAGNOLE,B112,1340.0,01024,Attignat,01,01024000AL0132,0,,,,,AB,terrains a bâtir,491.0,5.1708,46.26554
66,2020-30,2020-01-13,1,Vente,185000.0,6058.0,OUSSIAT,B063,1160.0,01304,Pont-d'Ain,01,01304000AH0465,0,1.0,Maison,107.0,4.0,S,sols,924.0,5.36072,46.055116
67,2020-31,2020-01-10,1,Vente,132900.0,288.0,RTE DE L ETANG,0325,1190.0,01094,Chavannes-sur-Reyssouze,01,010940000B0967,0,1.0,Maison,95.0,3.0,S,sols,1081.0,5.000155,46.436403
68,2020-31,2020-01-10,1,Vente,132900.0,,EN CUNIERE,B071,1190.0,01094,Chavannes-sur-Reyssouze,01,010940000B0968,0,,,,,S,sols,168.0,5.000077,46.436205
69,2020-32,2020-01-10,1,Vente,150000.0,4.0,RUE AUGUSTE PERRODIN,0320,1000.0,01053,Bourg-en-Bresse,01,01053000AC0034,0,1.0,Maison,112.0,6.0,S,sols,544.0,5.222717,46.21263
70,2020-32,2020-01-10,1,Vente,150000.0,4.0,RUE AUGUSTE PERRODIN,0320,1000.0,01053,Bourg-en-Bresse,01,01053000AC0034,0,3.0,Dépendance,,0.0,S,sols,544.0,5.222717,46.21263
71,2020-32,2020-01-10,1,Vente,150000.0,4.0,RUE AUGUSTE PERRODIN,0320,1000.0,01053,Bourg-en-Bresse,01,01053000AC0034,0,3.0,Dépendance,,0.0,S,sols,544.0,5.222717,46.21263
72,2020-32,2020-01-10,1,Vente,150000.0,4.0,RUE AUGUSTE PERRODIN,0320,1000.0,01053,Bourg-en-Bresse,01,01053000AC0034,0,3.0,Dépendance,,0.0,S,sols,544.0,5.222717,46.21263
73,2020-33,2020-01-15,1,Vente,167330.0,5136.0,LE BOURG,B026,1160.0,01314,Priay,01,013140000E1251,1,2.0,Appartement,150.0,5.0,S,sols,73.0,5.287697,46.004198
74,2020-33,2020-01-15,1,Vente,167330.0,,LE BOURG,B026,1160.0,01314,Priay,01,013140000E1326,0,,,,,S,sols,117.0,5.287758,46.004223
75,2020-34,2020-01-09,1,Vente,85000.0,123.0,RUE SUR LA ROCHE,0255,1250.0,01125,Corveissiat,01,011250000E1550,0,1.0,Maison,90.0,4.0,S,sols,55.0,5.480958,46.242736
76,2020-34,2020-01-09,1,Vente,85000.0,115.0,RUE SUR LA ROCHE,0255,1250.0,01125,Corveissiat,01,011250000E1565,0,1.0,Maison,80.0,3.0,S,sols,129.0,5.481012,46.242794
78,2020-36,2020-01-10,1,Vente,125000.0,6.0,IMP GABRIEL VICAIRE,1600,1000.0,01053,Bourg-en-Bresse,01,01053000AC0591,0,1.0,Maison,95.0,3.0,S,sols,338.0,5.221508,46.208604
79,2020-37,2020-01-07,1,Vente,55000.0,,MABERTIN,B057,1290.0,01123,Cormoranche-sur-Saône,01,011230000C1072,0,,,,,AB,terrains a bâtir,418.0,4.838639,46.239361
80,2020-38,2020-01-13,1,Vente,222950.0,,HAMEAU DU CREUX OUEST,B149,1750.0,01320,Replonges,01,01320000AD0252,0,,,,,S,sols,458.0,4.87206,46.31041
81,2020-38,2020-01-13,1,Vente,222950.0,,HAMEAU DU CREUX OUEST,B149,1750.0,01320,Replonges,01,01320000AD0253,0,,,,,S,sols,121.0,4.872207,46.310334
82,2020-38,2020-01-13,1,Vente,222950.0,6159.0,IMP DU CREUX,0141,1750.0,01320,Replonges,01,01320000AD0266,0,1.0,Maison,133.0,6.0,AG,terrains d'agrément,528.0,4.871512,46.309995
83,2020-38,2020-01-13,1,Vente,222950.0,6159.0,IMP DU CREUX,0141,1750.0,01320,Replonges,01,01320000AD0266,0,1.0,Maison,133.0,6.0,S,sols,600.0,4.871512,46.309995
84,2020-38,2020-01-13,1,Vente,222950.0,,HAMEAU DU CREUX OUEST,B149,1750.0,01320,Replonges,01,01320000AD0269,0,,,,,S,sols,462.0,4.871555,46.310368
85,2020-39,2020-01-17,1,Vente,240000.0,60.0,CHE DU MAS GAILLARD,0133,1370.0,01426,Val-Revermont,01,01426000ZO0110,0,1.0,Maison,165.0,6.0,S,sols,700.0,5.335766,46.277787
86,2020-39,2020-01-17,1,Vente,240000.0,60.0,CHE DU MAS GAILLARD,0133,1370.0,01426,Val-Revermont,01,01426000ZO0110,0,1.0,Maison,165.0,6.0,AG,terrains d'agrément,1361.0,5.335766,46.277787
87,2020-40,2020-01-06,1,Vente,70000.0,12.0,QUAI JUSTIN REYMOND,0120,1160.0,01304,Pont-d'Ain,01,01304000AM0200,0,1.0,Maison,120.0,4.0,S,sols,155.0,5.337298,46.048595
88,2020-41,2020-01-15,1,Vente,224000.0,1.0,LOT LES PINS,A515,1370.0,01350,Saint-Étienne-du-Bois,01,01350000AA0079,0,1.0,Maison,101.0,5.0,S,sols,1047.0,5.304189,46.287199
89,2020-42,2020-01-13,1,Vente,135000.0,,LES GASSAGNETTES,B171,1160.0,01273,Neuville-sur-Ain,01,012730000E1012,0,,,,,S,sols,834.0,5.374144,46.07133
90,2020-42,2020-01-13,1,Vente,135000.0,300.0,RTE DE PONT D AIN,0001,1160.0,01273,Neuville-sur-Ain,01,012730000E1770,0,4.0,Local industriel. commercial ou assimilé,401.0,0.0,S,sols,833.0,5.374276,46.071405
91,2020-43,2020-01-10,1,Vente,147000.0,,LE MOLARD,B056,1270.0,01445,Villemotier,01,01445000ZI0003,0,,,,,T,terres,8640.0,5.315519,46.331514
92,2020-43,2020-01-10,1,Vente,147000.0,160.0,RTE DE STRASBOURG,0145,1270.0,01445,Villemotier,01,01445000ZI0108,0,1.0,Maison,62.0,2.0,S,sols,3305.0,5.314784,46.331567
93,2020-43,2020-01-10,1,Vente,147000.0,160.0,RTE DE STRASBOURG,0145,1270.0,01445,Villemotier,01,01445000ZI0108,0,1.0,Maison,72.0,3.0,S,sols,3305.0,5.314784,46.331567
94,2020-44,2020-01-09,1,Vente,10.0,,MONTESSUY,B058,1340.0,01196,Jayat,01,011960000C2554,0,,,,,S,sols,45.0,5.104547,46.35147
95,2020-45,2020-01-09,2,Vente,74990.0,128.0,IMP DE MONTESSUY,0140,1340.0,01196,Jayat,01,011960000C2391,0,1.0,Maison,107.0,3.0,S,sols,921.0,5.104845,46.351433
96,2020-45,2020-01-09,2,Vente,74990.0,,MONTESSUY,B058,1340.0,01196,Jayat,01,011960000C2393,0,,,,,T,terres,278.0,5.105123,46.351371
97,2020-46,2020-01-15,1,Vente,208850.0,20.0,LOT LES PLATANES,A012,1960.0,01405,Servas,01,014050000C0716,0,1.0,Maison,120.0,6.0,S,sols,805.0,5.169096,46.129348
98,2020-47,2020-01-16,1,Vente,154816.0,240.0,RTE DE LA CROIX BLANCHE,0037,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000B0431,0,1.0,Maison,127.0,4.0,S,sols,729.0,5.073779,46.460351
99,2020-47,2020-01-16,1,Vente,154816.0,,LA CROIX BLANCHE,B043,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000B0647,0,,,,,T,terres,1364.0,5.073949,46.460609
100,2020-47,2020-01-16,1,Vente,154816.0,,LA CROIX BLANCHE,B043,1560.0,01388,Saint-Trivier-de-Courtes,01,013880000B0649,0,,,,,S,sols,564.0,5.074169,46.460462
101,2020-48,2020-01-17,1,Vente,160000.0,,LE VILLAGE,B191,1190.0,01402,Sermoyer,01,01402000AD0353,0,,,,,S,sols,911.0,4.979258,46.497545
102,2020-49,2020-01-17,1,Vente,85000.0,47.0,GR GRANDE RUE,0055,1340.0,01266,Montrevel-en-Bresse,01,01266000AB0075,0,1.0,Maison,120.0,5.0,S,sols,116.0,5.127816,46.338451
103,2020-50,2020-01-07,1,Vente,210000.0,145.0,RTE DU BOURG,0085,1380.0,01025,Bâgé-Dommartin,01,010250000F2172,0,1.0,Maison,92.0,5.0,S,sols,900.0,4.944483,46.315041
104,2020-50,2020-01-07,1,Vente,210000.0,,BAGE LA VILLE,B004,1380.0,01025,Bâgé-Dommartin,01,010250000F2176,0,,,,,S,sols,34.0,4.944388,46.314263
105,2020-50,2020-01-07,1,Vente,210000.0,,BAGE LA VILLE,B004,1380.0,01025,Bâgé-Dommartin,01,010250000F2177,0,,,,,S,sols,989.0,4.944204,46.314779
106,2020-51,2020-01-17,1,Vente,268200.0,405.0,RTE DE LA CHAPELLE,0093,1570.0,01159,Feillens,01,01159000AM1050,0,1.0,Maison,114.0,5.0,S,sols,642.0,4.898762,46.333277
107,2020-51,2020-01-17,1,Vente,268200.0,405.0,RTE DE LA CHAPELLE,0093,1570.0,01159,Feillens,01,01159000AM1050,0,1.0,Maison,114.0,5.0,P,prés,369.0,4.898762,46.333277
108,2020-52,2020-01-21,1,Vente,685.0,,DHUYS,B055,1250.0,01095,Nivigne et Suran,01,01095000AH0033,0,,,,,J,jardins,173.0,5.406495,46.256274
109,2020-52,2020-01-21,1,Vente,685.0,,AUX VIGNES,B155,1250.0,01095,Nivigne et Suran,01,010950000G0087,0,,,,,L,landes,1507.0,5.399681,46.26386
110,2020-52,2020-01-21,1,Vente,685.0,,AUX VIGNES,B155,1250.0,01095,Nivigne et Suran,01,010950000G0092,0,,,,,P,prés,1208.0,5.400762,46.263241
111,2020-52,2020-01-21,1,Vente,685.0,,VERS GRAY,B141,1250.0,01095,Nivigne et Suran,01,010950000G0166,0,,,,,BT,taillis simples,316.0,5.402504,46.262416
112,2020-52,2020-01-21,1,Vente,685.0,,AUX GROBONNIERES,B078,1250.0,01095,Nivigne et Suran,01,010950000G0236,0,,,,,BT,taillis simples,2970.0,5.399818,46.25972
113,2020-52,2020-01-21,1,Vente,685.0,,AUX GROBONNIERES,B078,1250.0,01095,Nivigne et Suran,01,010950000G0237,0,,,,,L,landes,3450.0,5.399718,46.259452
114,2020-52,2020-01-21,1,Vente,685.0,,AUX GROBONNIERES,B078,1250.0,01095,Nivigne et Suran,01,010950000G0241,0,,,,,L,landes,1270.0,5.398715,46.259117
115,2020-52,2020-01-21,1,Vente,685.0,,AUX GROBONNIERES,B078,1250.0,01095,Nivigne et Suran,01,010950000G0242,0,,,,,L,landes,700.0,5.399364,46.259072
116,2020-52,2020-01-21,1,Vente,685.0,,AUX GROBONNIERES,B078,1250.0,01095,Nivigne et Suran,01,010950000G0248,0,,,,,BT,taillis simples,1550.0,5.399014,46.259669
117,2020-52,2020-01-21,1,Vente,685.0,,A LACHAT,B082,1250.0,01095,Nivigne et Suran,01,010950000G0528,0,,,,,BS,taillis sous futaie,2619.0,5.394752,46.254959
118,2020-52,2020-01-21,1,Vente,685.0,,VERS GRAY,B141,1250.0,01095,Nivigne et Suran,01,010950000G0552,0,,,,,P,prés,1004.0,5.402001,46.261292
119,2020-53,2020-01-21,1,Vente,615.0,,VERS LE CLAPAY,B145,1250.0,01095,Nivigne et Suran,01,01095000ZI0031,0,,,,,P,prés,15047.0,5.412567,46.260095
120,2020-54,2020-01-20,1,Vente,251500.0,2494.0,CHE DE TANVOL,0202,1440.0,01451,Viriat,01,014510000E1615,0,1.0,Maison,130.0,5.0,S,sols,880.0,5.260703,46.245356
121,2020-54,2020-01-20,1,Vente,251500.0,2490.0,CHE DE TANVOL,0202,1440.0,01451,Viriat,01,014510000E1625,0,,,,,AB,terrains a bâtir,67.0,5.260621,46.245428
122,2020-54,2020-01-20,1,Vente,251500.0,,GRAND TANVOL,B130,1440.0,01451,Viriat,01,014510000E1695,0,,,,,AG,terrains d'agrément,234.0,5.260442,46.245228
126,2020-57,2020-01-17,1,Vente,280.0,,AU BORRY,B004,1570.0,01023,Asnières-sur-Saône,01,010230000B0181,0,,,,,P,prés,585.0,4.874221,46.371146
127,2020-57,2020-01-17,1,Vente,280.0,,LES PAUQUIS,B038,1570.0,01023,Asnières-sur-Saône,01,010230000B0248,0,,,,,P,prés,1280.0,4.877378,46.374187
128,2020-58,2020-01-13,1,Vente,1000.0,,LES OLIVES,B190,1380.0,01025,Bâgé-Dommartin,01,010250000C1653,0,,,,,T,terres,531.0,4.928694,46.353901
129,2020-58,2020-01-13,1,Vente,1000.0,,LES OLIVES,B190,1380.0,01025,Bâgé-Dommartin,01,010250000C1654,0,,,,,T,terres,2025.0,4.928471,46.35379
130,2020-58,2020-01-13,1,Vente,1000.0,,LES OLIVES,B190,1380.0,01025,Bâgé-Dommartin,01,010250000C1655,0,,,,,T,terres,784.0,4.928506,46.353644
131,2020-58,2020-01-13,1,Vente,1000.0,,LES OLIVES,B190,1380.0,01025,Bâgé-Dommartin,01,010250000C1656,0,,,,,P,prés,176.0,4.929287,46.353533
132,2020-58,2020-01-13,1,Vente,1000.0,,LES OLIVES,B190,1380.0,01025,Bâgé-Dommartin,01,010250000C1657,0,,,,,P,prés,2475.0,4.929831,46.353573
133,2020-58,2020-01-13,1,Vente,1000.0,,LES OLIVES,B190,1380.0,01025,Bâgé-Dommartin,01,010250000C1658,0,,,,,P,prés,3969.0,4.928932,46.353992
134,2020-59,2020-01-15,1,Vente,277400.0,,LES CADALLES,B003,1000.0,01344,Saint-Denis-lès-Bourg,01,01344000AC0047,0,,,,,S,sols,76.0,5.199523,46.209974
135,2020-59,2020-01-15,1,Vente,277400.0,5126.0,LES CADALLES,B003,1000.0,01344,Saint-Denis-lès-Bourg,01,01344000AC0050,0,1.0,Maison,107.0,5.0,S,sols,1223.0,5.199326,46.210136
136,2020-59,2020-01-15,1,Vente,277400.0,5126.0,LES CADALLES,B003,1000.0,01344,Saint-Denis-lès-Bourg,01,01344000AC0050,0,1.0,Maison,107.0,5.0,J,jardins,861.0,5.199326,46.210136
137,2020-60,2020-01-10,1,Vente,90000.0,,LA VIERGE,B102,1240.0,01211,Lent,01,012110000D0586,0,,,,,AB,terrains a bâtir,700.0,5.189762,46.115567
138,2020-61,2020-01-22,1,Vente,62710.0,,LE POISIAT,B084,1370.0,01038,Bény,01,01038000ZB0027,0,,,,,P,prés,4816.0,5.285404,46.336697
139,2020-61,2020-01-22,1,Vente,62710.0,5067.0,LE POISIAT,B084,1370.0,01038,Bény,01,01038000ZB0047,0,1.0,Maison,91.0,2.0,S,sols,4850.0,5.28559,46.336406
140,2020-62,2020-01-17,1,Vente,140000.0,,LES ECHANEES,B088,1380.0,01025,Bâgé-Dommartin,01,010250000B1167,0,,,,,P,prés,765.0,4.930125,46.344947
141,2020-62,2020-01-17,1,Vente,140000.0,746.0,RTE DES CREUSES,0210,1380.0,01025,Bâgé-Dommartin,01,010250000B1170,0,1.0,Maison,122.0,6.0,S,sols,770.0,4.930229,46.345427
142,2020-62,2020-01-17,1,Vente,140000.0,746.0,RTE DES CREUSES,0210,1380.0,01025,Bâgé-Dommartin,01,010250000B1170,0,1.0,Maison,122.0,6.0,T,terres,3515.0,4.930229,46.345427
143,2020-63,2020-01-22,1,Vente,69000.0,,RUE DE LA CHARTREUSE,0064,1960.0,01289,Péronnas,01,01289000AI0230,0,,,,,AB,terrains a bâtir,590.0,5.223506,46.186271
144,2020-64,2020-01-06,1,Vente,18400.0,,LA CROIX,B055,1190.0,01016,Arbigny,01,01016000AC0122,0,,,,,P,prés,228.0,4.974535,46.473534
145,2020-64,2020-01-06,1,Vente,18400.0,,LES CRUISES,B057,1190.0,01016,Arbigny,01,01016000ZI0172,0,,,,,P,prés,566.0,4.9747,46.473511
146,2020-64,2020-01-06,1,Vente,18400.0,,LES CRUISES,B057,1190.0,01016,Arbigny,01,01016000ZI0173,0,,,,,P,prés,913.0,4.974853,46.473466
